prompt,axis,target_n,target_delta,target_ci_low,target_ci_high,model_delta,model_perm_p2,model_perm_p1
evaluative_paraphrase,valence,500,0.04474583333333333,0.03594583333333333,0.05366260416666666,0.044662742553379875,0.2,0.9142857142857143
evaluative_paraphrase,arousal,500,-0.004387499999999999,-0.011237812500000003,0.0024416666666666684,-0.004624443163435243,0.9714285714285714,0.4857142857142857
evaluative_paraphrase,dominance,500,0.0007375000000000042,-0.0067542708333333265,0.008479270833333337,0.0003733322065817557,1.0,0.5142857142857142
evaluative_stance,valence,500,0.02487083333333334,0.016108020833333334,0.03355843749999999,0.024625480145580747,0.6,0.7142857142857143
evaluative_stance,arousal,500,-0.045025,-0.049325,-0.04071666666666667,-0.04521063355334842,0.2,0.1
evaluative_stance,dominance,500,-0.015408333333333328,-0.023137604166666662,-0.0077663541666666645,-0.015640349336125348,0.5428571428571428,0.2714285714285714
neutral_descriptive,valence,500,-0.00524166666666666,-0.01156687499999999,0.0014043750000000052,-0.00544489440728857,0.7142857142857143,0.35714285714285715
neutral_descriptive,arousal,500,-0.03146666666666668,-0.03563354166666668,-0.02728333333333334,-0.031367058816427984,0.2,0.1
neutral_descriptive,dominance,500,-0.024462499999999995,-0.03147520833333333,-0.01761666666666666,-0.024450183801337788,0.2571428571428571,0.12857142857142856
pooled_equal_prompts,valence,500,0.021458333333333343,0.016106875000000003,0.02686673611111112,0.02129227341208595,0.2857142857142857,0.8714285714285714
pooled_equal_prompts,arousal,500,-0.026959722222222225,-0.030391701388888887,-0.023526388888888895,-0.027080363697239096,0.45714285714285713,0.22857142857142856
pooled_equal_prompts,dominance,500,-0.013044444444444444,-0.017797222222222218,-0.008272187499999998,-0.013222602551654417,0.4857142857142857,0.24285714285714285
