target_id,target_name,category,target_family,wikidata_qid,wikidata_uri,label_en,label_ru,description_en,description_ru,country,geography,country_qid,match_evidence,time_period,sitelinks_count,salience_bucket,sensitivity_label,curation_status,source_dataset,source_item_id,needs_review,prompt_target_ru,prompt_target_ru_source,prompt_target_ru_needs_review,prompt_target_ru_fixed,scope_note,review_reason,final_needs_review,scope_note_ru,review_reason_ru
aist_cis_country_or_territory_Q159,Russia,country_or_territory,country_or_territory,Q159,https://www.wikidata.org/wiki/Q159,Russia,,country,,Russia,Russia,Q159,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q159,False,Россия,manual_mapping_v1,False,Россия,,,False,,
aist_cis_country_or_territory_Q212,Ukraine,country_or_territory,country_or_territory,Q212,https://www.wikidata.org/wiki/Q212,Ukraine,,country,,Ukraine,Ukraine,Q212,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q212,False,Украина,manual_mapping_v1,False,Украина,,,False,,
aist_cis_country_or_territory_Q265,Uzbekistan,country_or_territory,country_or_territory,Q265,https://www.wikidata.org/wiki/Q265,Uzbekistan,,country,,Uzbekistan,Uzbekistan,Q265,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q265,False,Узбекистан,manual_mapping_v1,False,Узбекистан,,,False,,
aist_cis_country_or_territory_Q232,Kazakhstan,country_or_territory,country_or_territory,Q232,https://www.wikidata.org/wiki/Q232,Kazakhstan,,country,,Kazakhstan,Kazakhstan,Q232,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q232,False,Казахстан,manual_mapping_v1,False,Казахстан,,,False,,
aist_cis_country_or_territory_Q227,Azerbaijan,country_or_territory,country_or_territory,Q227,https://www.wikidata.org/wiki/Q227,Azerbaijan,,country,,Azerbaijan,Azerbaijan,Q227,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q227,False,Азербайджан,manual_mapping_v1,False,Азербайджан,,,False,,
aist_cis_country_or_territory_Q863,Tajikistan,country_or_territory,country_or_territory,Q863,https://www.wikidata.org/wiki/Q863,Tajikistan,,country,,Tajikistan,Tajikistan,Q863,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q863,False,Таджикистан,manual_mapping_v1,False,Таджикистан,,,False,,
aist_cis_country_or_territory_Q184,Belarus,country_or_territory,country_or_territory,Q184,https://www.wikidata.org/wiki/Q184,Belarus,,country,,Belarus,Belarus,Q184,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q184,False,Беларусь,manual_mapping_v1,False,Беларусь,,,False,,
aist_cis_country_or_territory_Q813,Kyrgyzstan,country_or_territory,country_or_territory,Q813,https://www.wikidata.org/wiki/Q813,Kyrgyzstan,,country,,Kyrgyzstan,Kyrgyzstan,Q813,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q813,False,Кыргызстан,manual_mapping_v1,False,Кыргызстан,,,False,,
aist_cis_country_or_territory_Q874,Turkmenistan,country_or_territory,country_or_territory,Q874,https://www.wikidata.org/wiki/Q874,Turkmenistan,,country,,Turkmenistan,Turkmenistan,Q874,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q874,False,Туркменистан,manual_mapping_v1,False,Туркменистан,,,False,,
aist_cis_country_or_territory_Q230,Georgia,country_or_territory,country_or_territory,Q230,https://www.wikidata.org/wiki/Q230,Georgia,,country,,Georgia,Georgia,Q230,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q230,False,Грузия,manual_mapping_v1,False,Грузия,,,False,,
aist_cis_country_or_territory_Q399,Armenia,country_or_territory,country_or_territory,Q399,https://www.wikidata.org/wiki/Q399,Armenia,,country,,Armenia,Armenia,Q399,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q399,False,Армения,manual_mapping_v1,False,Армения,,,False,,
aist_cis_country_or_territory_Q217,Moldova,country_or_territory,country_or_territory,Q217,https://www.wikidata.org/wiki/Q217,Moldova,,country,,Moldova,Moldova,Q217,built_in_country,,1,low,administrative,built_in_country_seed,built_in_country_seed,Q217,False,Молдова,manual_mapping_v1,False,Молдова,,,False,,
